,01.10.2018,02.10.2018,03.10.2018,04.10.2018,05.10.2018,06.10.2018,07.10.2018,08.10.2018,09.10.2018,10.10.2018,11.10.2018,12.10.2018,13.10.2018,14.10.2018,15.10.2018,16.10.2018,17.10.2018,18.10.2018,19.10.2018,20.10.2018,21.10.2018,22.10.2018,23.10.2018,24.10.2018,25.10.2018,26.10.2018,27.10.2018,28.10.2018,29.10.2018,30.10.2018,31.10.2018,01.11.2018,02.11.2018,03.11.2018,04.11.2018,05.11.2018,06.11.2018,07.11.2018,08.11.2018,09.11.2018,10.11.2018,11.11.2018,12.11.2018,13.11.2018,14.11.2018,15.11.2018,16.11.2018,17.11.2018,18.11.2018,19.11.2018,20.11.2018,21.11.2018,22.11.2018,23.11.2018,24.11.2018,25.11.2018,26.11.2018,27.11.2018,28.11.2018,29.11.2018,30.11.2018,01.12.2018,02.12.2018,03.12.2018,04.12.2018,05.12.2018,06.12.2018,07.12.2018,08.12.2018,09.12.2018,10.12.2018,11.12.2018,12.12.2018,13.12.2018,14.12.2018
РГМУ::Регистрация пользователя,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Оперативный мониторинг::4. Запросы на устранения дефектов и сбоев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Портал НПА::Устранение сбоев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ТОР КНД,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Госуслуги74::Консультация,0,0,0,0,1,1,1,1,3,2,2,2,1,1,1,1,1,3,1,1,1,2,2,0,0,0,0,0,2,2,3,3,4,4,4,4,5,5,4,5,4,4,5,5,5,4,4,4,4,5,5,4,5,5,1,1,1,2,3,3,3,3,3,6,6,6,4,4,4,4,4,4,4,4,4
Оперативный мониторинг::Корректировка учётных данных,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
СИР::Консультация,1,1,1,1,1,1,1,3,10,4,3,2,1,1,1,2,2,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Прочее,2,1,3,1,2,1,1,2,2,4,0,3,1,1,3,2,4,0,0,1,1,4,1,1,1,0,0,0,0,2,1,3,4,2,2,2,4,5,2,1,1,1,2,2,5,3,2,1,1,2,3,4,5,3,1,1,3,4,4,2,7,1,1,11,7,5,6,5,4,4,6,5,7,7,5
